feature,importance
CabinNumberBand_5,0.04079839221188387
DestinationDeck_55 Cancri e_G,0.04031624342799544
RouteSide_Europa_PSO J318.5-22_S,0.040169294545623686
HomeDeck_Europa_C,0.039895067616357374
HomeDeck_Mars_E,0.03978147854458205
RouteSide_Europa_?_S,0.039627242102555166
SpendPerGroupMember,0.03934200808315778
CabinDeckSide_B_S,0.039269115929451454
FoodCourtMissing,0.0379759065630057
CabinDeckSide_F_P,0.0378683936802927
HomeDeck_?_F,0.03775820436855543
RouteSide_Earth_TRAPPIST-1e_P,0.03762095982869685
RouteSide_Europa_?_P,0.03722748265607399
RouteSide_Earth_PSO J318.5-22_S,0.03717149054135838
MissingCount,0.03689499672966865
CabinNumberBand_14,0.036564130470507314
VIP_False,0.03653016193936084
CabinDeck_E,0.03650352282607729
FoodCourtShare,0.03644692438517232
DestinationDeck_PSO J318.5-22_E,0.036201308682933066
Log1pShoppingMall,0.03583990786967517
HomeDeck_Mars_?,0.03530358509186913
CabinNumber,0.035256771024024774
IsMinor,0.0348439901143737
RouteSide_Mars_?_S,0.03471832288534554
TotalSpend,0.034105530390914476
DestinationDeck_PSO J318.5-22_B,0.03386784956325239
RouteSide_Europa_PSO J318.5-22_?,0.03377124364822838
RouteSide_Earth_55 Cancri e_S,0.033598810309406674
Spa,0.03348803619847514
DestinationDeck_TRAPPIST-1e_F,0.03319185666501757
CabinDeck_F,0.03249016201533149
HomeDeck_?_E,0.031998819034215524
DestinationDeck_?_A,0.03178572362948692
CryoNoSpendConsistent,0.031671207641112746
CabinDeck_D,0.03108116394737036
LuxurySpend,0.03105533170052536
CabinNumberBand_7,0.030870637432988717
CabinNumberBand_12,0.03085196653059266
RouteSide_Mars_PSO J318.5-22_S,0.030827582441164302
Route_Europa_to_PSO J318.5-22,0.030593739141577765
SpaMissing,0.03055558736599387
RouteSide_Mars_PSO J318.5-22_?,0.030244683740195424
SpendStd,0.03017534171513229
NoSpend,0.029966100261151707
RouteSide_Mars_55 Cancri e_P,0.028907158981640167
PassengerGroupNumber,0.028697543212704957
RouteSide_?_TRAPPIST-1e_?,0.028259605433402744
RouteSide_Europa_55 Cancri e_S,0.028152763664619863
RouteSide_Europa_55 Cancri e_P,0.027657068753744962
CabinDeckSide_E_S,0.026790873319239593
RouteSide_Mars_TRAPPIST-1e_S,0.026668550099261817
Route_?_to_PSO J318.5-22,0.02661715213909226
RoomService,0.026570184195712925
VRDeck,0.026536106235069756
ChildInCryo,0.02590909040580089
CabinNumberBand_4,0.025786667861012896
HomeDeck_Europa_B,0.025017809382674627
RouteSide_Earth_?_S,0.02395637919458623
ShoppingMall,0.023849962454114144
CabinNumberBand_2,0.023838283460466597
CabinDeckSide_G_P,0.023831356653377773
CabinDeckSide_D_S,0.023621168923611807
RoomServiceShare,0.023470526817140694
AgeSquared,0.023340306049930943
Route_?_to_?,0.023267637662727263
SpendPerAge,0.0228019632388326
NameLength,0.0225379191654117
DestinationDeck_TRAPPIST-1e_T,0.022045981636935472
AgeBand_child,0.021741278052965433
RouteSide_Mars_55 Cancri e_S,0.021740218842306834
RouteSide_Europa_TRAPPIST-1e_?,0.02163506739644468
DestinationDeck_?_D,0.021628093310158795
AgeBand_baby,0.021345536950719182
HomeDeck_infrequent_sklearn,0.021122507517238164
SharedSurname,0.020766257492014818
Log1pRoomService,0.02062536632857545
RouteSide_Earth_TRAPPIST-1e_S,0.02014107587640171
IsChild,0.019690081229316266
Route_Mars_to_55 Cancri e,0.01936575665219496
AgeBand_adult,0.019333163876745732
IsSenior,0.018380804995545234
CabinDeckSide_E_P,0.01763545388599873
Log1pFoodCourt,0.016347459728687792
SpaShare,0.015327453185705933
AgeMissing,0.013156596132347625
ShoppingMallMissing,0.013088671849654393
SpendServicesUsed,0.01278901281937197
RouteSide_Mars_55 Cancri e_?,0.012477745271079914
Log1pSpa,0.011712910183599618
CabinDeck_C,0.010331558685115661
PassengerNumberInGroup,0.010257525544280771
RoomServiceMissing,0.009998310818140293
VIPHasSpend,0.009357186892411754
VRDeckMissing,0.009264014024750595
IsGroupLeader,0.008942731320008649
SurnameSize,0.008880286259854847
AgeBand_teen,0.008083724995878838
CabinMissing,0.007844097438269018
VRDeckShare,0.0072188484435361105
CabinDeckSide_?_?,0.003781050395967512
CryoHasSpendConflict,0.0
