number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_accuracy_std,user_attrs_oof_auc,user_attrs_oof_log_loss,system_attrs_fixed_params,state
0,0.8114574945358334,2026-08-20 23:34:49.342355,2026-08-20 23:35:01.597720,0 days 00:00:12.255365,0.8,0.035,5,4,650,0.05,2.5,0.85,0.004745644132612507,0.8999444181827709,0.39194132902930084,"{'n_estimators': 650, 'learning_rate': 0.035, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.85, 'colsample_bytree': 0.8, 'reg_alpha': 0.05, 'reg_lambda': 2.5}",COMPLETE
1,0.8067410560220868,2026-08-20 23:35:01.749124,2026-08-20 23:35:19.681559,0 days 00:00:17.932435,0.7030385741204636,0.06630683792380719,7,5,450,0.04260595868371837,1.9594757926759485,0.7858824411398939,0.00242551881333647,0.8954993814537768,0.41205726100093193,,COMPLETE
2,0.8012193719084321,2026-08-20 23:35:19.823761,2026-08-20 23:35:37.989978,0 days 00:00:18.166217,0.9077831487751247,0.057333169792818404,5,9,800,0.00010296377740149914,1.1260239929339284,0.6646012904865629,0.005818011872569291,0.8941431851133896,0.411082156182487,,COMPLETE
3,0.8078914068790981,2026-08-20 23:35:38.099931,2026-08-20 23:35:54.774358,0 days 00:00:16.674427,0.9950131643439266,0.0691609597213541,4,3,650,0.007465890643182219,0.7037571199011972,0.883237236716165,0.001534036939187658,0.8979605178531445,0.40133626031906794,,COMPLETE
4,0.8058207753364777,2026-08-20 23:35:54.888933,2026-08-20 23:36:07.356382,0 days 00:00:12.467449,0.6058509411296882,0.07310320274007549,4,6,800,0.001981403042999809,7.800646817606763,0.7041607495507546,0.0027498086492915505,0.8969658150650015,0.40148156014684494,,COMPLETE
