number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_fold_accuracy_std,user_attrs_oof_auc,user_attrs_oof_log_loss,system_attrs_fixed_params,state
0,0.8120326699643391,2026-08-20 23:29:49.156092,2026-08-20 23:30:29.953657,0 days 00:00:40.797565,1.0,7,650,5.0,0.045,0.4,0.007887553915354846,0.8987661365925804,0.39735781250205865,"{'iterations': 650, 'learning_rate': 0.045, 'depth': 7, 'l2_leaf_reg': 5.0, 'random_strength': 0.4, 'bagging_temperature': 1.0}",COMPLETE
1,0.8127228804785459,2026-08-20 23:30:30.067102,2026-08-20 23:31:18.634177,0 days 00:00:48.567075,0.7727893059034768,8,350,3.025859834113633,0.06848098274478996,0.18725825901975005,0.0036123356293026447,0.9008158881418575,0.3903181061086049,,COMPLETE
2,0.8114574945358334,2026-08-20 23:31:18.776653,2026-08-20 23:32:16.387658,0 days 00:00:57.611005,2.4031742597759846,8,650,7.318253070936582,0.03959268409871651,0.2351599755592751,0.0045396319794455365,0.8997942149385927,0.3939042039486667,,COMPLETE
3,0.8130679857356494,2026-08-20 23:32:16.479562,2026-08-20 23:32:49.577121,0 days 00:00:33.097559,2.7390821742619385,5,350,2.0701146773404044,0.058115207845473936,0.399359987369685,0.007400046387727206,0.8990092673416594,0.39633702429279277,,COMPLETE
4,0.8115725296215346,2026-08-20 23:32:49.694807,2026-08-20 23:33:54.080380,0 days 00:01:04.385573,0.36986213857906314,7,450,11.633944757146537,0.028229376674007923,0.24584544951114312,0.0078116545205970415,0.8994466962432515,0.395876074567519,,COMPLETE
