number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,user_attrs_fold_accuracy_std,user_attrs_oof_auc,user_attrs_oof_log_loss,system_attrs_fixed_params,state
0,0.7985735649373059,2026-08-20 23:29:35.804105,2026-08-20 23:29:36.446859,0 days 00:00:00.642754,0.12,,0.006119579523802568,0.8878839578700413,0.4190612336744648,"{'C': 0.12, 'class_weight': None}",COMPLETE
1,0.7830438283676522,2026-08-20 23:29:36.530112,2026-08-20 23:29:37.051698,0 days 00:00:00.521586,0.00348299342571896,balanced,0.009737423059743478,0.8701255672653799,0.46732239976072254,,COMPLETE
2,0.7830438283676522,2026-08-20 23:37:56.050953,2026-08-20 23:37:57.350979,0 days 00:00:01.300026,0.00348299342571896,balanced,0.009737423059743478,0.8701255672653799,0.46732239976072254,,COMPLETE
3,0.7966179684803865,2026-08-20 23:37:57.486416,2026-08-20 23:37:58.357362,0 days 00:00:00.870946,0.06057210356006501,,0.006172559868301018,0.8865301436075351,0.42215597455017523,,COMPLETE
4,0.7991487403658116,2026-08-20 23:37:58.437154,2026-08-20 23:37:59.298761,0 days 00:00:00.861607,0.4260595868371838,balanced,0.005624846489126976,0.8892333255871689,0.4167254107665115,,COMPLETE
