number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_fold_accuracy_std,user_attrs_oof_auc,user_attrs_oof_log_loss,system_attrs_fixed_params,state
0,0.8035200736224548,2026-08-20 23:36:11.940488,2026-08-20 23:36:35.166717,0 days 00:00:23.226229,,0.8,2,550,0.0013176761223727955,0.8872209726606274,0.43428879147756244,"{'n_estimators': 550, 'max_features': 0.8, 'min_samples_leaf': 2, 'max_depth': None}",COMPLETE
1,0.805360634993673,2026-08-20 23:36:35.268767,2026-08-20 23:36:55.075229,0 days 00:00:19.806462,24.0,0.9327110216382267,8,400,0.0021867328925327034,0.8931438505071443,0.4145938744060884,,COMPLETE
2,0.8045553893937651,2026-08-20 23:36:55.179057,2026-08-20 23:37:15.318331,0 days 00:00:20.139274,12.0,0.9785430515500343,7,500,0.0042567581949612245,0.8929352598873436,0.41937439881470145,,COMPLETE
3,0.8074312665362936,2026-08-20 23:37:15.409651,2026-08-20 23:37:27.283754,0 days 00:00:11.874103,,0.5756856352296862,5,350,0.0007763819609936787,0.893820069482565,0.40987961462075007,,COMPLETE
4,0.8031749683653514,2026-08-20 23:37:27.379568,2026-08-20 23:37:50.684757,0 days 00:00:23.305189,12.0,0.680962243644657,1,700,0.0008298523943686656,0.891166222982605,0.41610248843332925,,COMPLETE
