number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layers,params_learning_rate_init,user_attrs_fold_accuracy_std,user_attrs_oof_auc,user_attrs_oof_log_loss,system_attrs_fixed_params,state
0,0.8029448981939492,2026-08-20 23:38:04.197240,2026-08-20 23:38:08.192792,0 days 00:00:03.995552,relu,0.001,128,"64,32",0.001,0.003431284160650354,0.8923818502604669,0.4128053848582218,"{'hidden_layers': '64,32', 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001}",COMPLETE
1,0.7992637754515127,2026-08-20 23:38:08.287645,2026-08-20 23:38:14.366273,0 days 00:00:06.078628,tanh,0.0009342599891119988,64,"64,32",0.002635488613344016,0.0017279748827226553,0.8909786475832231,0.4126989221441213,,COMPLETE
2,0.8067410560220868,2026-08-20 23:38:14.443879,2026-08-20 23:38:25.231144,0 days 00:00:10.787265,relu,9.871759052924239e-05,128,64,0.00029742560664476316,0.000960710305838149,0.8977374494933319,0.39867535952530236,,COMPLETE
3,0.8066260209363856,2026-08-20 23:38:25.364217,2026-08-20 23:38:32.407834,0 days 00:00:07.043617,tanh,0.09195889731658881,128,64,0.0004991830996560173,0.009023634384871387,0.8928348156033512,0.409126092137055,,COMPLETE
4,0.7989186701944093,2026-08-20 23:38:32.497414,2026-08-20 23:38:49.159203,0 days 00:00:16.661789,tanh,0.03857628979832146,128,"128,64,32",0.0005979295613012586,0.0030765743350723708,0.8860948585760362,0.4384977502414181,,COMPLETE
